2025-08-21 10:59:17 - INFO: Fetching data for product ID 79709163
2025-08-21 10:59:17 - INFO: Fetched data for product ID 138838287
2025-08-21 10:59:17 - INFO: Fetching data for product ID 216178735
2025-08-21 10:59:17 - INFO: Fetched data for product ID 74892021
2025-08-21 10:59:17 - INFO: Fetching data for product ID 158210295
2025-08-21 10:59:17 - INFO: Fetched data for product ID 214006984
2025-08-21 10:59:17 - INFO: Fetching data for product ID 156644981
2025-08-21 10:59:17 - INFO: Fetched data for product ID 179805786
2025-08-21 10:59:17 - INFO: Fetched data for product ID 164361837
2025-08-21 10:59:17 - INFO: Fetching data for product ID 214008289
2025-08-21 10:59:17 - INFO: Fetching data for product ID 855162
2025-08-21 10:59:17 - INFO: Fetched data for product ID 174287389
2025-08-21 10:59:17 - INFO: Fetching data for product ID 216382694
2025-08-21 10:59:17 - INFO: Fetched data for product ID 213678732
2025-08-21 10:59:17 - INFO: Fetching data for product ID 139457475
2025-08-21 10:59:17 - INFO: Fetched data for product ID 855162
2025-08-21 10:59:17 - INFO: Fetching data for product ID 196015143
2025-08-21 10:59:17 - INFO: Fetched data for product ID 205930779
2025-08-21 10:59:17 - INFO: Fetching data for product ID 245323425
2025-08-21 10:59:17 - INFO: Fetched data for product ID 213678772
2025-08-21 10:59:17 - INFO: Fetching data for product ID 204037726
2025-08-21 10:59:17 - INFO: Fetched data for product ID 152738111
2025-08-21 10:59:17 - INFO: Fetching data for product ID 51844790
2025-08-21 10:59:17 - INFO: Fetched data for product ID 214008289
2025-08-21 10:59:17 - INFO: Fetching data for product ID 203862292
2025-08-21 10:59:17 - INFO: Fetched data for product ID 176464521
2025-08-21 10:59:17 - INFO: Fetching data for product ID 2758623
2025-08-21 10:59:17 - INFO: Fetched data for product ID 67029245
2025-08-21 10:59:17 - INFO: Fetching data for product ID 235732186
2025-08-21 10:59:17 - INFO: Fetched data for product ID 139457475
2025-08-21 10:59:17 - INFO: Fetching data for product ID 253116803
2025-08-21 10:59:17 - INFO: Fetched data for product ID 225255034
2025-08-21 10:59:17 - INFO: Fetching data for product ID 145562720
2025-08-21 10:59:17 - INFO: Fetched data for product ID 215101707
2025-08-21 10:59:17 - INFO: Fetching data for product ID 174280494
2025-08-21 10:59:17 - INFO: Fetched data for product ID 196015143
2025-08-21 10:59:17 - INFO: Fetching data for product ID 133005345
2025-08-21 10:59:17 - INFO: Fetched data for product ID 160814241
2025-08-21 10:59:17 - INFO: Fetching data for product ID 168004956
2025-08-21 10:59:17 - INFO: Fetched data for product ID 79709163
2025-08-21 10:59:17 - INFO: Fetching data for product ID 214008668
2025-08-21 10:59:17 - INFO: Fetched data for product ID 174280494
2025-08-21 10:59:17 - INFO: Fetching data for product ID 166405895
2025-08-21 10:59:17 - INFO: Fetched data for product ID 36376636
2025-08-21 10:59:17 - INFO: Fetching data for product ID 252069617
2025-08-21 10:59:17 - INFO: Fetched data for product ID 158210295
2025-08-21 10:59:17 - INFO: Fetching data for product ID 103545051
2025-08-21 10:59:17 - INFO: Fetched data for product ID 75378750
2025-08-21 10:59:17 - INFO: Fetching data for product ID 174342096
2025-08-21 10:59:17 - INFO: Fetched data for product ID 51844790
2025-08-21 10:59:17 - INFO: Fetching data for product ID 135390778
2025-08-21 10:59:17 - INFO: Fetched data for product ID 178092987
2025-08-21 10:59:17 - INFO: Fetching data for product ID 43755849
2025-08-21 10:59:17 - INFO: Fetched data for product ID 103545051
2025-08-21 10:59:17 - INFO: Fetching data for product ID 145673600
2025-08-21 10:59:17 - INFO: Fetched data for product ID 203862292
2025-08-21 10:59:17 - INFO: Fetching data for product ID 106870100
2025-08-21 10:59:17 - INFO: Fetched data for product ID 145562720
2025-08-21 10:59:17 - INFO: Fetching data for product ID 150509493
2025-08-21 10:59:17 - INFO: Fetched data for product ID 143061027
2025-08-21 10:59:17 - INFO: Fetching data for product ID 167387981
2025-08-21 10:59:17 - INFO: Fetched data for product ID 216178735
2025-08-21 10:59:17 - INFO: Fetching data for product ID 214008360
2025-08-21 10:59:17 - INFO: Fetched data for product ID 174342096
2025-08-21 10:59:17 - INFO: Fetching data for product ID 153413535
2025-08-21 10:59:17 - INFO: Fetched data for product ID 106870100
2025-08-21 10:59:17 - INFO: Fetching data for product ID 201509082
2025-08-21 10:59:17 - INFO: Fetched data for product ID 156644981
2025-08-21 10:59:17 - INFO: Fetching data for product ID 192692807
2025-08-21 10:59:17 - INFO: Fetched data for product ID 214008360
2025-08-21 10:59:17 - INFO: Fetching data for product ID 123441327
2025-08-21 10:59:17 - INFO: Fetched data for product ID 43755849
2025-08-21 10:59:17 - INFO: Fetching data for product ID 167513137
2025-08-21 10:59:18 - INFO: Fetched data for product ID 216382694
2025-08-21 10:59:18 - INFO: Fetching data for product ID 181770298
2025-08-21 10:59:18 - INFO: Fetched data for product ID 145673600
2025-08-21 10:59:18 - INFO: Fetching data for product ID 139460205
2025-08-21 10:59:18 - INFO: Fetched data for product ID 201509082
2025-08-21 10:59:18 - INFO: Fetching data for product ID 203202280
2025-08-21 10:59:18 - INFO: Fetched data for product ID 192692807
2025-08-21 10:59:18 - INFO: Fetching data for product ID 251546916
2025-08-21 10:59:18 - INFO: Fetched data for product ID 167513137
2025-08-21 10:59:18 - INFO: Fetching data for product ID 75378593
2025-08-21 10:59:18 - INFO: Fetched data for product ID 204037726
2025-08-21 10:59:18 - INFO: Fetching data for product ID 214690892
2025-08-21 10:59:18 - INFO: Fetched data for product ID 123441327
2025-08-21 10:59:18 - INFO: Fetching data for product ID 201525471
2025-08-21 10:59:18 - INFO: Fetched data for product ID 139460205
2025-08-21 10:59:18 - INFO: Fetching data for product ID 88993037
2025-08-21 10:59:18 - INFO: Fetched data for product ID 251546916
2025-08-21 10:59:18 - INFO: Fetching data for product ID 178083976
2025-08-21 10:59:18 - INFO: Fetched data for product ID 203202280
2025-08-21 10:59:18 - INFO: Fetched data for product ID 2758623
2025-08-21 10:59:18 - INFO: Fetching data for product ID 99834160
2025-08-21 10:59:18 - INFO: Fetching data for product ID 253881297
2025-08-21 10:59:18 - INFO: Fetched data for product ID 245323425
2025-08-21 10:59:18 - INFO: Fetching data for product ID 212054460
2025-08-21 10:59:18 - INFO: Fetched data for product ID 235732186
2025-08-21 10:59:18 - INFO: Fetching data for product ID 212054372
2025-08-21 10:59:18 - INFO: Fetched data for product ID 75378593
2025-08-21 10:59:18 - INFO: Fetching data for product ID 67029322
2025-08-21 10:59:18 - INFO: Fetched data for product ID 212054460
2025-08-21 10:59:18 - INFO: Fetching data for product ID 191463934
2025-08-21 10:59:18 - INFO: Fetched data for product ID 253116803
2025-08-21 10:59:18 - INFO: Fetching data for product ID 214006896
2025-08-21 10:59:18 - INFO: Fetched data for product ID 214690892
2025-08-21 10:59:18 - INFO: Fetching data for product ID 194212256
2025-08-21 10:59:18 - INFO: Fetched data for product ID 133005345
2025-08-21 10:59:18 - INFO: Fetching data for product ID 190608158
2025-08-21 10:59:18 - INFO: Fetched data for product ID 67029322
2025-08-21 10:59:18 - INFO: Fetching data for product ID 43084631
2025-08-21 10:59:18 - INFO: Fetched data for product ID 201525471
2025-08-21 10:59:18 - INFO: Fetching data for product ID 222322077
2025-08-21 10:59:18 - INFO: Fetched data for product ID 168004956
2025-08-21 10:59:18 - INFO: Fetching data for product ID 150509465
2025-08-21 10:59:18 - INFO: Fetched data for product ID 191463934
2025-08-21 10:59:18 - INFO: Fetching data for product ID 214007120
2025-08-21 10:59:18 - INFO: Fetched data for product ID 214008668
2025-08-21 10:59:18 - INFO: Fetching data for product ID 235728525
2025-08-21 10:59:18 - INFO: Fetched data for product ID 43084631
2025-08-21 10:59:18 - INFO: Fetching data for product ID 213678621
2025-08-21 10:59:18 - INFO: Fetched data for product ID 194212256
2025-08-21 10:59:18 - INFO: Fetching data for product ID 173419596
2025-08-21 10:59:18 - INFO: Fetched data for product ID 166405895
2025-08-21 10:59:18 - INFO: Fetching data for product ID 213527833
2025-08-21 10:59:18 - INFO: Fetched data for product ID 150509465
2025-08-21 10:59:18 - INFO: Fetching data for product ID 164379838
2025-08-21 10:59:18 - INFO: Fetched data for product ID 252069617
2025-08-21 10:59:18 - INFO: Fetching data for product ID 144756298
2025-08-21 10:59:18 - INFO: Fetched data for product ID 213527833
2025-08-21 10:59:18 - INFO: Fetching data for product ID 178319679
2025-08-21 10:59:18 - INFO: Fetched data for product ID 214007120
2025-08-21 10:59:18 - INFO: Fetching data for product ID 214008786
2025-08-21 10:59:18 - INFO: Fetched data for product ID 135390778
2025-08-21 10:59:18 - INFO: Fetching data for product ID 125244519
2025-08-21 10:59:18 - INFO: Fetched data for product ID 144756298
2025-08-21 10:59:18 - INFO: Fetching data for product ID 184589216
2025-08-21 10:59:18 - INFO: Fetched data for product ID 235728525
2025-08-21 10:59:18 - INFO: Fetching data for product ID 174163144
2025-08-21 10:59:18 - INFO: Fetched data for product ID 150509493
2025-08-21 10:59:18 - INFO: Fetching data for product ID 34423196
2025-08-21 10:59:18 - INFO: Fetched data for product ID 214008786
2025-08-21 10:59:18 - INFO: Fetching data for product ID 56420137
2025-08-21 10:59:18 - INFO: Fetched data for product ID 213678621
2025-08-21 10:59:18 - INFO: Fetching data for product ID 214008201
2025-08-21 10:59:18 - INFO: Fetched data for product ID 125244519
2025-08-21 10:59:18 - INFO: Fetching data for product ID 253266713
2025-08-21 10:59:18 - INFO: Fetched data for product ID 167387981
2025-08-21 10:59:18 - INFO: Fetching data for product ID 158409197
2025-08-21 10:59:18 - INFO: Fetched data for product ID 173419596
2025-08-21 10:59:18 - INFO: Fetching data for product ID 77679596
2025-08-21 10:59:18 - INFO: Fetched data for product ID 153413535
2025-08-21 10:59:18 - INFO: Fetching data for product ID 215101775
2025-08-21 10:59:18 - INFO: Fetched data for product ID 56420137
2025-08-21 10:59:18 - INFO: Fetching data for product ID 193513488
2025-08-21 10:59:18 - INFO: Fetched data for product ID 164379838
2025-08-21 10:59:18 - INFO: Fetching data for product ID 193124408
2025-08-21 10:59:18 - INFO: Fetched data for product ID 181770298
